source,target,type,weight
karljadeleonard,ecb,tweet,1.0
karljadeleonard,ECB_cricket,mention,0.5
karljadeleonard,imfemalecricket,mention,0.5
Oesch13767736,ecb,tweet,1.0
GIS_Reports,ecb,tweet,1.0
GIS_Reports,Colombatto,mention,0.5
FM_100_Pakistan,ecb,tweet,1.0
jacobotweetsnow,ecb,tweet,1.0
hem_sharma,ecb,tweet,1.0
hem_sharma,Eoin16,mention,0.5
RdeTemas,elEconomistaes,mention,0.5
newsonepk,ecb,tweet,1.0
newsonepk,GFarooqi,mention,0.5
newsonepk,bahramand_tangi,mention,0.5
newsonepk,AliPervaiz450,mention,0.5
newsonepk,AmirZia1,mention,0.5
susiklatt,ecb,tweet,1.0
FXstreetReports,ValBednarik,mention,0.5
GulfTimes_QATAR,ecb,tweet,1.0
AbhyaVib21_12,ecb,tweet,1.0
AbhyaVib21_12,Eoin16,mention,0.5
AbhyaVib21_12,ECB_cricket,mention,0.5
BourseiYourself,ecb,tweet,1.0
Cricketinfoupd1,ecb,tweet,1.0
httamilnews,ecb,tweet,1.0
aanpakkuh,GuntherSchnabl,mention,0.5
iBruceWaynee,ecb,tweet,1.0
Goeiegast1,ecb,tweet,1.0
Goeiegast1,Zieikditgoed,mention,0.5
Goeiegast1,jndkgrf,mention,0.5
S_Galimberti,ecb,tweet,1.0
AnmNews,ecb,tweet,1.0
ChaseThePancake,ecb,tweet,1.0
MSDIRFAN12,ecb,tweet,1.0
MSDIRFAN12,Eoin16,mention,0.5
iwmbuzz,ecb,tweet,1.0
iwmbuzz,EoinMorganOffi1,mention,0.5
iwmbuzz,iwmbuzz,mention,0.5
IndiacomNews,ecb,tweet,1.0
yasam7,ecb,tweet,1.0
yasam7,Eoin16,mention,0.5
BossBlunts1,ecb,tweet,1.0
GadflyQuebec,ecb,tweet,1.0
Aproxima_dos,ecb,tweet,1.0
Aproxima_dos,Lagarde,mention,0.5
Aproxima_dos,ecb,mention,0.5
JediJerome00,ecb,tweet,1.0
JediJerome00,ecb,mention,0.5
perzelmeier,ecb,tweet,1.0
perzelmeier,Schuldensuehner,mention,0.5
TrustMaximum,ecb,tweet,1.0
BryanKDornan,ecb,tweet,1.0
bsindia,ecb,tweet,1.0
Drishtibhongi,ecb,tweet,1.0
banxso,ecb,tweet,1.0
GrumpyOldBears,ecb,tweet,1.0
GrumpyOldBears,zerohedge,mention,0.5
avamsee,ecb,tweet,1.0
avamsee,Eoin16,mention,0.5
avamsee,ECB_cricket,mention,0.5
xtylesh_nadym,ecb,tweet,1.0
xtylesh_nadym,Eoin16,mention,0.5
xtylesh_nadym,afgan___,mention,0.5
xtylesh_nadym,ECB_cricket,mention,0.5
Nithishsports06,ecb,tweet,1.0
Prodomas1,ecb,tweet,1.0
VachaMarathi,ecb,tweet,1.0
ChainLogAnalyst,ecb,tweet,1.0
thecricketfizz,ecb,tweet,1.0
gbponz,jeuasommenulle,mention,0.5
apy_yadav,ecb,tweet,1.0
Dawn_News,ecb,tweet,1.0
ergun_unutmaz,ecb,tweet,1.0
businessupturn,ecb,tweet,1.0
mariusghisea,ecb,tweet,1.0
AndrewWattEU,ecb,tweet,1.0
theSportsleaks,ecb,tweet,1.0
theSportsleaks,englandcricket,mention,0.5
theSportsleaks,Eoin16,mention,0.5
theSportsleaks,ICC,mention,0.5
investrocom,ecb,tweet,1.0
avs_IND,ecb,tweet,1.0
V_TBot,ecb,tweet,1.0
RottiTrader,ecb,tweet,1.0
BinodR0ut,ecb,tweet,1.0
dumbwire,ecb,tweet,1.0
News18_Sports,ecb,tweet,1.0
Kbraam66288961,ecb,tweet,1.0
Kbraam66288961,nisbartr,mention,0.5
Mekapuravillage,ecb,tweet,1.0
HarshAgrawal__,ecb,tweet,1.0
tyssoey,ecb,tweet,1.0
tyssoey,PRingholm,mention,0.5
Wahcricketlive,ecb,tweet,1.0
ABPNews,ecb,tweet,1.0
thenusan97,ecb,tweet,1.0
thenusan97,Eoin16,mention,0.5
thenusan97,ECB_cricket,mention,0.5
AbhiThakur62,ecb,tweet,1.0
pawanti10,ecb,tweet,1.0
KretzThomas,ecb,tweet,1.0
KretzThomas,MacroAlf,mention,0.5
FlowBank_SA,ecb,tweet,1.0
InsidesportHIN,ecb,tweet,1.0
hobnob_writes,ecb,tweet,1.0
Champ_Hunt,ecb,tweet,1.0
cricfolks,ecb,tweet,1.0
ZainabShafiq11,ecb,tweet,1.0
ZainabShafiq11,Eoin16,mention,0.5
kokunu,ecb,tweet,1.0
kokunu,ECB_cricket,mention,0.5
kokunu,Eoin16,mention,0.5
gidetuz,ecb,tweet,1.0
sachinsiva003,ecb,tweet,1.0
sachinsiva003,Eoin16,mention,0.5
sachinsiva003,englandcricket,mention,0.5
myKhelTelugu,ecb,tweet,1.0
News18Northeast,ecb,tweet,1.0
sbotopin,ecb,tweet,1.0
AbYaswanth,ecb,tweet,1.0
cep_GER,ecb,tweet,1.0
cep_GER,HenningVoepel,mention,0.5
TheNuzz,ecb,tweet,1.0
TheNuzz,Eoin16,mention,0.5
LondonFX_N20,ecb,tweet,1.0
MSD7_CSK,ecb,tweet,1.0
Sportsbuzer,ecb,tweet,1.0
Cricket360_,ecb,tweet,1.0
Cricket360_,englandcricket,mention,0.5
RasMhmud,ecb,tweet,1.0
RasMhmud,Eoin16,mention,0.5
eshudokan,ecb,tweet,1.0
eshudokan,ecb,mention,0.5
eshudokan,G7,mention,0.5
JacobLcmarkets,ecb,tweet,1.0
JacobLcmarkets,federalreserve,mention,0.5
Sportsbetio_IN,ecb,tweet,1.0
Sportsbetio_IN,Eoin16,mention,0.5
paulhague_1,ecb,tweet,1.0
