username,language,isInfluencer,profession,isBank,isViral,hashtags
HedefCapital,en,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry']"
HedefCapitaluk,en,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry']"
sosyalfx,tr,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry']"
FXEmpirecom,en,0,unknown,0,0,"['Inflation', 'ECB', 'Forex', 'FX']"
newstrack_eng,en,0,finance expert,0,0,"['globaleconomy', 'ultralowinflation', 'europeancentralbank', 'ecb']"
sosyalfx,tr,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry', 'faiz']"
navycapital,en,0,finance expert,0,0,['ECB']
CMEGroup,0,0,0,0,0,0
PatriaCZ,cs,0,unknown,0,0,"['ECB', 'QE', 'dluhopisy', 'spread']"
STARTRADER_int,en,0,unknown,0,0,"['startrader', 'inflation', 'cpi', 'g7', 'fed', 'ECB', 'cfd', 'trading']"
KhayaMajola3,en,0,unknown,0,0,"['recession', 'Lagarde', 'ECB', 'Bitcoin']"
BirdingBrussels,en,0,unknown,0,0,"['EconTwitter', 'ECB']"
EP_Economics,0,0,0,0,0,0
Jobvandooren,en,0,unknown,0,0,['ecb']
C_Barraud,de,0,unknown,0,0,['ECB']
DogukanSari,tr,0,unknown,0,0,['ECB']
Macronextcom,pl,0,unknown,0,0,"['Francja', 'inflacja', 'EUR', 'ECB']"
ecb,en,0,critic,0,0,
Europarl_EN,0,0,0,0,0,0
GertJan64873143,en,0,unknown,0,0,"['ECB', 'FederalReserve', 'BIs', 'oil', 'gas']"
federalreserve,0,0,0,0,0,0
GutshotMagazine,en,0,unknown,0,0,"['jamesanderson', 'ECB', 'ENGvIND', 'GutshotMagazine']"
jimmy9,0,0,0,0,0,0
cricnode,en,0,unknown,0,0,"['EoinMorgan', 'Ireland', 'ECB', 'England', 'CricketTwitter']"
4414Nick,en,0,unknown,0,0,"['gold', 'goldnews', 'CentralBanks', 'asia', 'asian', 'ECB', 'EuropeanCentralBank', 'GoldFutures', 'todaygold', 'todaygoldnews', 'TodayGoldprice', 'todaygoldrate', 'dollor', 'USDollar']"
DigPerspectives,en,0,unknown,0,0,"['ECB', 'RETWEET']"
DrumevDesislav,en,0,critic,0,0,"['FED', 'GreatResignation', 'ECB', 'BreakMySoul', 'hyperinflation', 'energycrisis', 'transition', 'greendeal']"
OneCricketApp,en,0,unknown,0,0,"['ENGvIND', 'englandcricket', 'ECB', 'Stokes', 'Kohli', 'BCCI', 'TeamIndia', 'IndianCricketTeam']"
Emre_CAYIRLI,tr,0,unknown,0,0,"['Dolar', 'ECB', 'Powell']"
FXstreetReports,en,0,unknown,0,0,"['EURUSD', 'Inflation', 'ECB', 'Fed', 'Recession']"
HareshMenghani,0,0,0,0,0,0
DrumevDesislav,en,0,unknown,0,0,"['ECB', 'FED']"
matthias_reder,de,0,unknown,0,0,"['lagarde', 'ezb', 'ecb']"
